ISI,Fast_Trough,Marker
15.96806452,-69.12500763,Pvalb
15.43428571,-48.65625,Pvalb
16.18688525,-58.17500305,Pvalb
37.076,-51.48750305,Pvalb
23.81902439,-52.23125076,Pvalb
,-60.46875381,Pvalb
12.39291139,-59.43750381,Pvalb
41.97052632,-48.79375076,Pvalb
15.45015873,-57.03125,Pvalb
16.19967213,-55.86250305,Pvalb
14.12028571,-60.19375229,Pvalb
13.888,-46.69374847,Pvalb
28.32296296,-52.99375153,Pvalb
23.28487805,-50.40000153,Pvalb
26.91771429,-53.23750305,Pvalb
91.45333333,-56.875,Pvalb
26.28344828,-48.35625458,Pvalb
16.28170213,-76.68750763,Pvalb
24.80066667,-57.65625,Pvalb
23.56727273,-56.66249847,Pvalb
21.69818182,-56.09375381,Pvalb
18.75956522,-37.875,Pvalb
17.18,-49.625,Pvalb
20.06425532,-60.84375381,Pvalb
44.74380952,-50.05000305,Pvalb
,-57.75,Pvalb
22.15534884,-44.39375305,Pvalb
20.18266667,-54.48125458,Pvalb
10.58,-58.40625381,Pvalb
35.47037037,-51.80000305,Pvalb
16.47186441,-57.10000229,Pvalb
59.61285714,-57.00000381,Pvalb
21.78756757,-46.90000153,Pvalb
17.34451613,-55.01875305,Pvalb
11.01022222,-53.1875,Pvalb
18.11684211,-45.63750458,Pvalb
10.39244444,-63.25000381,Pvalb
33.25517241,-48.5,Pvalb
19.3332,-45.83749771,Pvalb
23.255,-58.65625381,Pvalb
14.75878788,-52.65625381,Pvalb
31.68206897,-51.07500458,Pvalb
16.68083333,-52.01874924,Pvalb
25.08810811,-47.24375153,Pvalb
27.94727273,-57.90625,Pvalb
26.49222222,-57.69374847,Pvalb
40.78166667,-61.04375458,Pvalb
92.9,-64.625,Pvalb
13.04914286,-51.38125229,Pvalb
29.77375,-53.01250076,Pvalb
18.21185185,-57.78125381,Pvalb
17.04701754,-52.875,Pvalb
42.55304348,-64.51875305,Pvalb
,-52.71875,Pvalb
27.38176471,-53.50000381,Pvalb
7.467,-60.65625381,Pvalb
26.31785714,-53.71875381,Pvalb
29.12785714,-55.00625229,Pvalb
13.34837838,-58.18750381,Pvalb
34.33285714,-49.28750229,Pvalb
16.0276,-49.41875458,Pvalb
17.485,-54.28125381,Pvalb
17.54588235,-46.54375458,Pvalb
45.47,-45.65625381,Pvalb
35.976,-52.24375153,Pvalb
15.75,-55.00000381,Pvalb
22.49069767,-55.48125458,Pvalb
19.81888889,-44.76874924,Pvalb
16.70135593,-56.93750381,Pvalb
17.3637037,-54.50000381,Pvalb
22.69142857,-61.5,Pvalb
28.84428571,-54.23125076,Pvalb
6.085121951,-64.80000305,Pvalb
13.20301887,-56.70000076,Pvalb
26.38615385,-57.06874847,Pvalb
20.79361702,-57.54375458,Pvalb
15.135625,-58.3125,Pvalb
9.338064516,-59.52500153,Pvalb
26.24459459,-59.62500381,Pvalb
48.97368421,-39.00625229,Pvalb
15.470625,-62.84375381,Pvalb
26.74,-53.09375381,Pvalb
22.52418605,-56.625,Pvalb
25.41894737,-52.15625,Pvalb
21.35733333,-49.375,Pvalb
18.43794872,-65.99375916,Pvalb
18.32807692,-54.07500458,Pvalb
42.25913043,-51.19375229,Pvalb
16.38551724,-57.70000458,Pvalb
25.305,-59.36249924,Pvalb
14.69552239,-46.86250305,Pvalb
11.69341176,-64.8125,Pvalb
16.2547541,-52.99375153,Pvalb
54.39466667,-54.88750458,Pvalb
20.57652174,-48.27500153,Pvalb
18.37372549,-48.93750381,Pvalb
12.44833333,-56.79999924,Pvalb
44.34761905,-56.06875229,Pvalb
13.42222222,-58.96250153,Pvalb
23.4025,-62.93750381,Pvalb
21.16782609,-57.93750381,Pvalb
35.46555556,-52.21875381,Pvalb
15.1725,-46.46875381,Pvalb
44.10380952,-65.0625,Pvalb
84.6855,-53.03125,Pvalb
23.7495,-59.43750381,Pvalb
13.16519231,-52.93750381,Pvalb
16.54135593,-57.87500381,Pvalb
15.5152381,-53.01875305,Pvalb
15.7283871,-53.78125381,Pvalb
28.03454545,-51.95625305,Pvalb
13.488,-52.86875153,Pvalb
12.80916667,-56.74375153,Pvalb
17.3525,-54.81250381,Pvalb
16.41322034,-48.8125,Pvalb
12.269,-61.91875458,Pvalb
